video,keping,jam_mulai,jam_selesai,video_mulai_s,durasi_s,slope
CCTV 1.mp4,1,16:30:12.884,16:31:46.042,97.57,93.158,0.999998
CCTV 1.mp4,2,16:31:53.102,16:32:06.306,197.787,13.204,0.999998
CCTV 1.mp4,3,16:32:12.817,16:33:15.835,217.503,63.018,0.999998
CCTV 1.mp4,4,16:33:46.213,16:37:07.072,310.899,200.859,0.999998
CCTV 1.mp4,5,16:37:14.126,16:39:36.974,518.812,142.849,0.999998
CCTV 1.mp4,6,16:40:04.867,16:47:37.181,689.553,452.314,0.999998
CCTV 1.mp4,7,16:48:44.832,16:57:26.952,1201.0,522.109,1.00002
CCTV 1.mp4,8,16:57:56.209,17:07:37.605,1752.365,581.385,1.00002
CCTV 1.mp4,9,17:08:13.519,17:08:37.986,2355.501,24.499,0.998682
CCTV 1.mp4,10,17:08:42.036,17:09:06.157,2384.75,24.119,1.000045
CCTV 1.mp4,11,17:09:32.568,17:10:57.792,2435.279,85.221,1.000045
CCTV 1.mp4,12,17:11:03.494,17:13:17.742,2528.25,134.25,0.999987
CCTV 1.mp4,13,17:13:47.075,17:13:53.472,3038.75,6.397,0.999964
CCTV 1.mp4,14,17:13:53.472,17:14:17.724,2698.25,24.25,1.000074
CCTV 1.mp4,15,17:14:17.724,17:14:23.437,3069.4,5.714,0.999964
CCTV 1.mp4,16,17:14:23.437,17:14:57.259,2729.5,33.821,1.000033
CCTV 1.mp4,17,17:15:27.972,17:16:46.149,2794.033,78.174,1.000033
CCTV 1.mp4,18,17:17:20.529,17:19:16.697,2906.586,116.164,1.000033
CCTV 2.mp4,1,16:30:12.884,16:31:46.042,59.433,93.134,1.00026
CCTV 2.mp4,2,16:31:53.102,16:32:06.306,161.031,13.138,1.005003
CCTV 2.mp4,3,16:32:12.817,16:33:15.835,182.9,63.0,1.000274
CCTV 2.mp4,4,16:33:46.213,16:37:07.072,289.567,200.867,0.999963
CCTV 2.mp4,5,16:37:14.126,16:39:36.974,499.967,142.853,0.999967
CCTV 2.mp4,6,16:40:04.867,16:47:37.181,670.714,452.328,0.999967
