#{"t_start": 1788073257.9197075, "env_id": "None"}
r,l,t
-0.444451,12,2.962796
-0.071522,12,4.617279
-0.261687,12,6.442077
-0.373761,12,8.297877
-0.320331,12,10.094338
-0.597211,12,11.91776
-0.205738,12,13.704325
-0.357925,12,15.501912
-0.005457,12,17.086493
-0.18927,12,18.756155
-0.10896,12,20.503714
-0.137217,12,22.362453
-0.133363,12,24.105467
-0.024921,12,25.836983
-0.593451,12,27.659985
0.110643,12,29.263231
-0.183443,12,31.026154
-0.243709,12,32.794435
-0.105996,12,34.530904
0.012037,12,36.267302
-0.075851,12,37.957139
-0.536028,12,39.791294
-0.220144,12,41.476153
-0.43099,12,43.342041
-0.183904,12,45.04888
0.016087,12,46.777363
-0.220386,12,48.49688
-0.367415,12,50.216077
-0.059864,12,51.853666
0.033907,12,53.59932
-0.017753,12,55.265223
-0.571289,12,57.030053
-0.373608,12,58.854541
-0.154036,12,60.568432
-0.137664,12,62.196632
-0.566228,12,63.973237
-0.432451,12,65.736729
-0.194102,12,67.449992
-0.064183,12,69.107481
-0.382631,12,70.897347
-0.20693,12,72.643621
-0.15266,12,74.434976
-0.51664,12,76.673212
-0.495648,12,78.458635
-0.007903,12,80.154727
-0.112287,12,81.854179
-0.078293,12,83.577437
-0.223048,12,85.250973
-0.053444,12,86.951823
-0.19408,12,88.666828
-0.489779,12,90.544035
-0.2192,12,92.215722
-0.152804,12,93.873744
-0.324677,12,95.63119
-0.093927,12,97.284182
-0.072209,12,98.997441
-0.295497,12,100.779011
-0.477083,12,102.545248
-0.291188,12,104.254283
-0.177188,12,106.02378
0.007,12,107.803107
-0.508331,12,109.616359
-0.160635,12,111.307767
-0.044056,12,112.894047
0.053204,12,114.557187
-0.239554,12,116.215259
-0.096438,12,117.844126
-0.325262,12,119.529183
-0.157163,12,121.220242
-0.158852,12,123.042316
0.002165,12,124.738659
-0.169821,12,126.514547
-0.133652,12,128.060763
0.158269,12,129.594154
-0.396037,12,131.285486
-0.165153,12,133.047305
-0.213965,12,134.685181
-0.128301,12,136.352771
-0.050115,12,138.046615
-0.400604,12,139.799827
0.093945,12,141.53125
-0.096008,12,143.251577
-0.369225,12,145.079396
-0.0687,12,146.812544
-0.249152,12,148.515381
-0.561301,12,150.694401
-0.107934,12,152.349642
-0.187821,12,154.085246
0.354381,12,155.698481
-0.036431,12,157.437336
-0.273671,12,159.05764
-0.066632,12,160.811268
-0.03473,12,162.538013
-0.194041,12,164.251569
-0.262203,12,165.928324
-0.30427,12,167.632402
-0.114764,12,169.35115
-0.090254,12,171.01831
0.077933,12,172.693377
-0.005875,12,174.328003
0.054241,12,176.024978
-0.230577,12,177.785193
-0.030096,12,179.44627
0.096035,12,181.045602
-0.092,12,182.760046
-0.072993,12,184.515754
-0.329316,12,186.156592
-0.433415,12,187.809084
-0.224231,12,189.634423
-0.209632,12,191.421638
-0.034361,12,193.013235
-0.180464,12,194.583359
-0.427107,12,196.313072
-0.184059,12,198.035732
-0.22933,12,199.827128
-0.128265,12,201.405488
-0.359117,12,203.190654
-0.084968,12,204.967761
-0.18371,12,206.737549
-0.078044,12,208.479075
-0.270585,12,210.160153
-0.334997,12,211.901116
-0.001448,12,213.631389
-0.32906,12,215.298454
-0.483933,12,216.937696
-0.178142,12,218.665227
-0.46922,12,220.401564
-0.247746,12,222.138268
-0.206107,12,224.133948
-0.01192,12,225.881666
0.30706,12,227.363789
-0.036015,12,229.03688
-0.202351,12,230.700852
0.078295,12,232.386312
-0.171532,12,234.06585
-0.174701,12,235.713757
-0.272448,12,237.450181
-0.117349,12,239.126286
-0.018639,12,240.752584
0.090424,12,242.322014
-0.089224,12,243.967398
0.23172,12,245.512748
-0.48894,12,247.232405
-0.03353,12,248.867267
-0.013625,12,250.45955
-0.186088,12,252.171071
-0.298602,12,253.913172
-0.052914,12,255.567099
-0.297349,12,257.312123
-0.144262,12,259.000133
-0.040832,12,260.53976
-0.076379,12,262.142727
-0.110051,12,263.867292
0.150145,12,265.529775
-0.271759,12,267.330587
-0.123716,12,269.033909
-0.000247,12,270.734522
-0.156606,12,272.346491
-0.051846,12,273.993493
-0.383248,12,275.65011
-0.169901,12,277.260681
-0.009527,12,278.882894
-0.239144,12,280.584701
-0.210133,12,282.384853
0.164279,12,284.011064
-0.045804,12,285.745552
-0.110488,12,287.421726
-0.129404,12,289.089559
-0.081449,12,290.757306
0.063207,12,292.494513
-0.035324,12,294.490929
-0.445135,12,296.189105
-0.002462,12,297.836845
0.022099,12,299.359376
-0.088826,12,301.058835
-0.067605,12,302.71332
0.066643,12,304.40119
0.114646,12,306.037947
0.21631,12,307.655202
-0.072168,12,309.408394
-0.151649,12,311.003578
-0.024215,12,312.667083
0.106939,12,314.291679
0.024487,12,316.028812
0.060349,12,317.591066
-0.253506,12,319.179126
-0.070193,12,320.801842
-0.161505,12,322.560524
-0.222564,12,324.299016
-0.049542,12,326.040975
-0.540789,12,327.772326
-0.17131,12,329.473387
-0.100389,12,331.059994
0.328359,12,332.746702
0.184722,12,334.476409
-0.469295,12,336.404912
0.298221,12,338.001608
0.000259,12,339.64482
-0.159846,12,341.33386
-0.271049,12,343.032875
-0.259542,12,344.753817
