#{"t_start": 1788068843.1782038, "env_id": "None"}
r,l,t
-0.036451,12,2.954211
0.301478,12,4.730767
0.174313,12,6.617752
0.033239,12,8.439059
0.058669,12,10.179046
-0.142211,12,12.099852
0.250262,12,13.876503
0.117075,12,15.642205
0.376543,12,17.261642
0.23473,12,18.92862
0.27804,12,20.62172
0.237783,12,22.473037
0.281637,12,24.177991
0.356079,12,25.86293
-0.095451,12,27.721484
0.464643,12,29.303796
0.305557,12,31.030723
0.264291,12,32.792545
0.330004,12,34.497824
0.361037,12,36.268971
0.324149,12,37.990283
-0.020028,12,39.826135
0.225856,12,41.537708
-0.02299,12,43.377949
0.202096,12,45.143294
0.411087,12,46.943244
0.214614,12,48.702903
0.048585,12,50.541178
0.372136,12,52.259617
0.409907,12,54.017718
0.418247,12,55.73028
-0.111289,12,57.481268
0.117392,12,59.277052
0.301964,12,61.087951
0.280336,12,62.745572
-0.092228,12,64.543208
0.044549,12,66.437417
0.211898,12,68.19139
0.333817,12,69.861102
0.081369,12,71.826347
0.23607,12,73.560981
0.32534,12,75.400428
0.008301,12,77.775978
0.000923,12,79.617263
0.45907,12,81.366996
0.340588,12,83.05116
0.346137,12,84.782434
0.314986,12,86.550089
0.314556,12,88.271313
0.181334,12,90.017001
0.028536,12,92.025777
0.2318,12,93.739474
0.266196,12,95.617897
0.100323,12,97.558808
0.295073,12,99.253274
0.327791,12,101.01697
0.210086,12,102.956021
0.025794,12,104.748737
0.132528,12,106.606402
0.190812,12,108.458284
0.375,12,110.30789
0.087894,12,112.210058
0.256056,12,114.076568
0.284384,12,115.738396
0.515616,12,117.434504
0.158446,12,119.122603
0.287948,12,120.750001
0.091738,12,122.478059
0.312567,12,124.129555
0.249423,12,125.975965
0.400019,12,127.703506
0.196179,12,129.484992
0.220243,12,131.064719
0.543269,12,132.684613
0.169786,12,134.391607
0.233719,12,136.140317
0.154327,12,137.805787
0.276036,12,139.563876
0.290873,12,141.269032
0.128585,12,142.999594
0.478981,12,144.826137
0.207217,12,146.609084
0.124155,12,148.405081
