#{"t_start": 1787958908.5660124, "env_id": "None"}
r,l,t
-2.897439,12,2.169162
-3.766919,12,3.089366
-0.949331,12,4.063713
-1.585474,12,5.040762
-4.242855,12,6.077097
-4.690056,12,6.834977
-5.975694,12,7.781111
-0.596326,12,8.799716
-2.386173,12,9.741426
-3.008108,12,10.724533
-0.889647,12,11.897023
-0.651594,12,12.957136
-1.642953,12,14.06153
-2.370435,12,15.136037
-0.443996,12,16.134545
-2.712221,12,17.013948
-4.365482,12,18.054844
-2.533158,12,19.137676
-1.002039,12,20.106376
-1.462883,12,20.988278
-1.115563,12,22.087678
-3.985627,12,23.055255
-2.283645,12,24.0326
-3.568639,12,25.013719
-1.871807,12,26.0762
-1.960515,12,27.141607
-4.312893,12,28.041179
-1.656647,12,28.937735
-4.167914,12,29.903391
-2.50244,12,30.767448
-3.231068,12,31.781363
-2.723591,12,32.761923
-1.908499,12,33.624191
-2.23013,12,34.564868
-2.946944,12,35.633153
-1.529454,12,36.644578
-3.642078,12,37.680807
-0.96215,12,38.786962
-1.586589,12,39.792628
0.013114,12,40.910132
-0.402867,12,42.022633
-2.019043,12,42.896907
-2.403579,12,44.396535
-3.342,12,45.506232
-2.124399,12,46.427163
-2.47072,12,47.429405
-2.909512,12,48.613073
-1.627933,12,49.469926
-0.800079,12,50.445436
-1.761599,12,51.428704
-0.417817,12,52.422835
-1.188744,12,53.541671
-0.360604,12,54.475106
-1.036592,12,55.44173
-3.202078,12,56.576512
-1.157983,12,57.605485
-2.699103,12,58.583667
1.113538,12,59.473924
-1.181929,12,60.464806
-2.881659,12,61.504774
-3.146386,12,62.506881
-1.062243,12,63.656582
-2.479284,12,64.615728
-1.392656,12,65.630428
-3.299191,12,66.61049
-1.215135,12,67.475082
-4.212149,12,68.295548
-0.746895,12,69.265568
-1.141469,12,70.320264
-0.321916,12,71.138697
-1.367114,12,72.055943
-2.307456,12,73.078123
-1.681596,12,74.050876
-2.117989,12,75.056894
-1.041429,12,76.077761
-2.452924,12,77.183047
-6.361851,12,78.119389
-1.231678,12,79.05132
-2.329324,12,80.104819
-3.413242,12,81.079416
-3.162361,12,82.162772
-5.480189,12,83.209807
-0.934079,12,84.199925
-1.35,12,84.880651
-2.316552,12,85.782997
-1.661637,12,87.373821
-2.673041,12,88.363529
0.141929,12,89.54041
-1.097102,12,90.61357
-4.27281,12,91.544214
-1.263585,12,92.484101
-2.026563,12,93.331052
-1.629328,12,94.320689
-1.612613,12,95.384427
-5.817699,12,96.294718
-2.016458,12,97.417674
-0.579919,12,98.54563
-0.259454,12,99.645333
-2.967416,12,100.641923
-0.485916,12,101.539297
-1.90746,12,102.51181
-4.678828,12,103.55844
-0.529715,12,104.596964
-1.863412,12,105.602834
-1.859475,12,106.587126
-0.131858,12,107.50953
-0.318605,12,108.442119
-1.361676,12,109.251622
-1.125547,12,110.414196
-1.656086,12,111.427259
-0.45375,12,112.284519
-3.016322,12,113.258986
-1.088166,12,114.369709
0.119131,12,115.192783
0.034706,12,116.104462
-1.117876,12,117.011988
-0.510355,12,117.943362
-1.942247,12,118.893469
-2.819533,12,119.879187
-1.892042,12,120.869102
-0.896945,12,121.859984
-1.750229,12,122.84266
-2.975508,12,123.819375
-0.602393,12,124.855892
-4.240833,12,125.597626
-2.616397,12,126.631513
-3.265122,12,127.552778
-2.39824,12,128.577652
-4.678398,12,129.980701
-3.330414,12,130.956895
-0.859096,12,132.024412
-0.871966,12,132.971151
-1.945784,12,133.780877
-0.604679,12,134.723061
-0.538183,12,135.859132
-3.986303,12,136.920332
0.811488,12,137.807836
-0.959481,12,138.762776
-1.370298,12,139.75405
-0.581766,12,140.584936
-2.508239,12,141.784238
-0.599824,12,142.717243
-0.288125,12,143.742017
-0.811565,12,144.764611
-0.775276,12,145.709057
-2.101246,12,146.70686
-1.25329,12,147.725322
-3.541519,12,148.742876
0.404218,12,149.772733
