dbid,recorded,ct,link_plan,married,ss,tsc,lane,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,ds4,mf4,rf4
4978630497,2026-08-13T22:46:00+07:00,60,2,Y,2662,1,SA-259,0,0,0,0,0,0,,,,,,
4978632689,2026-08-13T22:48:00+07:00,60,2,Y,2662,1,SA-259,0,0,0,0,0,0,,,,,,
4978632689,2026-08-13T22:48:00+07:00,60,2,Y,2662,1,SA-258,0,0,0,0,0,0,12,2,2,,,
4978631559,2026-08-13T22:47:00+07:00,60,2,Y,2662,1,SA-258,0,0,0,0,0,0,0,0,0,,,
4978630497,2026-08-13T22:46:00+07:00,60,2,Y,2662,1,SA-258,0,0,0,12,2,2,0,0,0,,,
4978631559,2026-08-13T22:47:00+07:00,60,2,Y,2662,1,SA-259,0,0,0,0,0,0,,,,,,
4978630318,2026-08-13T22:46:00+07:00,75,2,Y,2663,2,SA-260,0,0,0,21,2,3,0,0,0,75,2,9
4978628966,2026-08-13T22:45:00+07:00,75,2,Y,2663,2,SA-260,12,2,2,12,2,1,0,0,0,0,0,0
4978628966,2026-08-13T22:45:00+07:00,75,2,Y,2663,2,SA-261,11,2,1,14,2,2,0,0,0,0,0,0
4978627640,2026-08-13T22:43:00+07:00,75,2,Y,2663,2,SA-260,23,3,3,23,3,3,0,0,0,0,0,0
4978631690,2026-08-13T22:47:00+07:00,75,2,Y,2663,2,SA-261,11,2,1,66,3,8,34,5,5,0,0,0
4978630318,2026-08-13T22:46:00+07:00,75,2,Y,2663,2,SA-261,24,2,3,0,0,0,13,2,2,0,0,0
4978627640,2026-08-13T22:43:00+07:00,75,2,Y,2663,2,SA-261,0,0,0,54,2,7,0,0,0,0,0,0
4978631690,2026-08-13T22:47:00+07:00,75,2,Y,2663,2,SA-260,0,0,0,21,3,3,13,2,2,0,0,0
4978631723,2026-08-13T22:47:00+07:00,75,2,Y,2664,3,SA-213,0,0,0,18,4,3,0,0,0,0,0,0
