TMU ID, Legacy TMU ID, Site Name
C6E971CACF64789BE0433CC411ACCCEA,30014331,TMU Site 9329/1 on A174 eastbound between A19 and A1044; GPS Ref: 447235;515054; Eastbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2026-03-01,00:14:00,6,70,68,1,0,1,99.37,15,118021802,23
2026-03-01,00:29:00,6,66,61,4,0,1,104.33,15,118021802,23
2026-03-01,00:44:00,6,57,52,3,2,0,104.69,15,118021802,23
2026-03-01,00:59:00,6,47,40,2,3,2,95.52,15,118021802,23
2026-03-01,01:14:00,6,44,43,1,0,0,101.09,15,118021802,23
2026-03-01,01:29:00,6,37,35,1,1,0,100.13,15,118021802,23
2026-03-01,01:44:00,6,39,38,0,0,1,102.69,15,118021802,23
2026-03-01,01:59:00,6,22,20,1,0,1,101.43,15,118021802,23
2026-03-01,02:14:00,6,18,17,0,1,0,98.25,15,118021802,23
2026-03-01,02:29:00,6,36,30,3,2,1,95.06,15,118021802,23
2026-03-01,02:44:00,6,25,23,0,0,2,97.79,15,118021802,23
2026-03-01,02:59:00,6,29,27,1,0,1,99.30,15,118021802,23
2026-03-01,03:14:00,6,27,26,1,0,0,102.64,15,118021802,23
2026-03-01,03:29:00,6,22,21,1,0,0,100.64,15,118021802,23
2026-03-01,03:44:00,6,18,17,0,0,1,96.40,15,118021802,23
2026-03-01,03:59:00,6,19,18,1,0,0,103.94,15,118021802,23
2026-03-01,04:14:00,6,23,21,1,0,1,94.54,15,118021802,23
2026-03-01,04:29:00,6,20,18,0,0,2,95.16,15,118021802,23
2026-03-01,04:44:00,6,19,17,1,1,0,94.92,15,118021802,23
2026-03-01,04:59:00,6,14,13,0,0,1,100.00,15,118021802,23
2026-03-01,05:14:00,6,33,31,0,1,1,101.87,15,118021802,23
2026-03-01,05:29:00,6,23,21,1,0,1,100.51,15,118021802,23
2026-03-01,05:44:00,6,65,60,2,1,2,100.77,15,118021802,23
2026-03-01,05:59:00,6,42,37,2,1,2,101.36,15,118021802,23
2026-03-01,06:14:00,6,55,53,0,1,1,100.63,15,118021802,23
2026-03-01,06:29:00,6,51,48,3,0,0,102.28,15,118021802,23
2026-03-01,06:44:00,6,92,84,3,3,2,102.13,15,118021802,23
2026-03-01,06:59:00,6,91,84,3,2,2,105.85,15,118021802,23
2026-03-01,07:14:00,6,77,69,3,0,5,100.70,15,118021802,23
2026-03-01,07:29:00,6,90,79,6,3,2,101.43,15,118021802,23
2026-03-01,07:44:00,6,128,116,6,4,2,101.63,15,118021802,23
2026-03-01,07:59:00,6,110,103,3,3,1,100.02,15,118021802,23
2026-03-01,08:14:00,6,139,130,7,2,0,102.81,15,118021802,23
2026-03-01,08:29:00,6,190,181,7,1,1,103.33,15,118021802,23
2026-03-01,08:44:00,6,230,216,7,2,5,99.94,15,118021802,23
2026-03-01,08:59:00,6,316,286,16,10,4,97.66,15,118021802,23
2026-03-01,09:14:00,6,345,313,11,9,12,101.52,15,118021802,23
2026-03-01,09:29:00,6,372,352,14,3,3,97.11,15,118021802,23
2026-03-01,09:44:00,6,429,414,8,5,2,98.88,15,118021802,23
2026-03-01,09:59:00,6,541,509,23,5,4,96.23,15,118021802,23
2026-03-01,10:14:00,6,503,483,11,4,5,95.60,15,118021802,23
2026-03-01,10:29:00,6,467,453,8,3,3,98.87,15,118021802,23
2026-03-01,10:44:00,6,506,493,11,2,0,96.67,15,118021802,23
2026-03-01,10:59:00,6,523,499,18,5,1,97.77,15,118021802,23
2026-03-01,11:14:00,6,581,553,21,6,1,99.21,15,118021802,23
2026-03-01,11:29:00,6,646,613,22,7,4,96.42,15,118021802,23
2026-03-01,11:44:00,6,626,594,23,5,4,96.64,15,118021802,23
2026-03-01,11:59:00,6,650,626,14,9,1,98.60,15,118021802,23
2026-03-01,12:14:00,6,719,693,19,5,2,96.54,15,118021802,23
2026-03-01,12:29:00,6,646,624,15,4,3,98.59,15,118021802,23
2026-03-01,12:44:00,6,606,587,15,3,1,100.17,15,118021802,23
2026-03-01,12:59:00,6,672,652,16,2,2,97.66,15,118021802,23
2026-03-01,13:14:00,6,668,651,12,2,3,99.45,15,118021802,23
2026-03-01,13:29:00,6,642,617,22,2,1,99.34,15,118021802,23
2026-03-01,13:44:00,6,625,601,20,1,3,97.85,15,118021802,23
2026-03-01,13:59:00,6,583,563,13,7,0,100.15,15,118021802,23
2026-03-01,14:14:00,6,551,530,12,7,2,98.24,15,118021802,23
2026-03-01,14:29:00,6,560,544,12,3,1,99.83,15,118021802,23
2026-03-01,14:44:00,6,543,516,19,4,4,98.77,15,118021802,23
2026-03-01,14:59:00,6,516,494,17,4,1,100.83,15,118021802,23
2026-03-01,15:14:00,6,546,525,13,2,6,101.73,15,118021802,23
2026-03-01,15:29:00,6,566,546,14,4,2,99.47,15,118021802,23
2026-03-01,15:44:00,6,485,467,15,3,0,106.17,15,118021802,23
2026-03-01,15:59:00,6,576,553,13,7,3,99.20,15,118021802,23
2026-03-01,16:14:00,6,566,549,12,3,2,100.93,15,118021802,23
2026-03-01,16:29:00,6,527,505,15,7,0,100.79,15,118021802,23
2026-03-01,16:44:00,6,496,470,21,3,2,101.53,15,118021802,23
2026-03-01,16:59:00,6,461,447,11,2,1,100.31,15,118021802,23
2026-03-01,17:14:00,6,432,419,11,1,1,100.85,15,118021802,23
2026-03-01,17:29:00,6,369,361,7,1,0,103.89,15,118021802,23
2026-03-01,17:44:00,6,393,380,7,4,2,101.32,15,118021802,23
2026-03-01,17:59:00,6,340,318,12,3,7,102.49,15,118021802,23
2026-03-01,18:14:00,6,332,321,8,1,2,99.46,15,118021802,23
2026-03-01,18:29:00,6,334,322,12,0,0,100.05,15,118021802,23
2026-03-01,18:44:00,6,322,310,10,1,1,102.26,15,118021802,23
2026-03-01,18:59:00,6,294,283,7,1,3,97.77,15,118021802,23
2026-03-01,19:14:00,6,268,258,5,1,4,100.89,15,118021802,23
2026-03-01,19:29:00,6,247,237,8,1,1,98.97,15,118021802,23
2026-03-01,19:44:00,6,228,221,2,3,2,100.58,15,118021802,23
2026-03-01,19:59:00,6,214,202,6,3,3,101.12,15,118021802,23
2026-03-01,20:14:00,6,226,217,7,2,0,102.06,15,118021802,23
2026-03-01,20:29:00,6,169,160,4,1,4,101.54,15,118021802,23
2026-03-01,20:44:00,6,180,174,3,1,2,103.53,15,118021802,23
2026-03-01,20:59:00,6,158,152,6,0,0,103.94,15,118021802,23
2026-03-01,21:14:00,6,140,136,3,1,0,100.55,15,118021802,23
2026-03-01,21:29:00,6,153,147,3,1,2,100.88,15,118021802,23
