sensor,MAE,MSE,RMSE,R2
1,0.205790713429451,0.11649587005376816,0.3413149118423462,0.9035486578941345
2,0.28632208704948425,0.236842080950737,0.4866642355918884,0.8198890686035156
3,0.261454701423645,0.16847535967826843,0.4104574918746948,0.8313757181167603
4,0.25083285570144653,0.10910101234912872,0.33030441403388977,0.8649251461029053
5,0.20072220265865326,0.11107303947210312,0.3332762122154236,0.8899187445640564
6,0.2026931196451187,0.09593376517295837,0.30973175168037415,0.9166795015335083
7,0.4377053380012512,0.3777911365032196,0.6146471500396729,0.6297106742858887
8,0.17302080988883972,0.1201288104057312,0.34659603238105774,0.9150657653808594
9,0.28589487075805664,0.20094995200634003,0.4482744038105011,0.8059868812561035
10,0.22566208243370056,0.12866993248462677,0.35870590806007385,0.8738046884536743
11,0.2136601209640503,0.10257140547037125,0.3202677071094513,0.9182076454162598
12,0.1663268655538559,0.06951724737882614,0.2636612355709076,0.9257246851921082
13,0.3870917856693268,0.3046882450580597,0.5519857406616211,0.8075897693634033
14,0.1901339888572693,0.12686797976493835,0.35618531703948975,0.8679526448249817
15,0.1603846251964569,0.06870284676551819,0.2621122896671295,0.9070590734481812
16,0.2305246740579605,0.1399950534105301,0.3741591274738312,0.8671796917915344
17,0.19690518081188202,0.10824926942586899,0.32901257276535034,0.9014245271682739
18,0.20191684365272522,0.10837609320878983,0.3292052447795868,0.9097251892089844
19,0.2586870491504669,0.2784459590911865,0.5276798009872437,0.854393720626831
20,0.17582541704177856,0.10044865310192108,0.31693634390830994,0.886338472366333
