local_date,local_time,day_type_id,total_carriageway_flow,vehicles_less_5_2m,vehicles_5_21m_6_6m,vehicles_6_61m_11_6m,vehicles_above_11_6m,speed_value,quality_index,network_link_id,ntis_model_version,timestamp,vehicle_count,vehicle_length_total,pct_vehicles_less_5_2m,pct_vehicles_5_21m_6_6m,pct_vehicles_6_61m_11_6m,pct_vehicles_above_11_6m,hour,minute,day_of_week,day_of_month,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,vehicle_count_change,speed_change,vehicle_count_rolling_mean_1h,vehicle_count_rolling_std_1h,speed_rolling_mean_1h,density_proxy,queue_proxy
2026-03-01,00:14:00,6.0,70.0,68.0,1.0,0.0,1.0,99.37,15.0,118021802.0,23.0,2026-03-01 00:14:00,70.0,70.0,97.14285714285714,1.4285714285714286,0.0,1.4285714285714286,0,14,6,1,3,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,,,70.0,0.0,99.37,0.06352087114337568,0.0
2026-03-01,00:29:00,6.0,66.0,61.0,4.0,0.0,1.0,104.33,15.0,118021802.0,23.0,2026-03-01 00:29:00,66.0,66.0,92.42424242424242,6.0606060606060606,0.0,1.5151515151515151,0,29,6,1,3,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,-4.0,4.959999999999994,68.0,2.8284271247461903,101.85,0.05989110707803993,0.0
2026-03-01,00:44:00,6.0,57.0,52.0,3.0,2.0,0.0,104.69,15.0,118021802.0,23.0,2026-03-01 00:44:00,57.0,57.0,91.22807017543859,5.263157894736842,3.508771929824561,0.0,0,44,6,1,3,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,-9.0,0.35999999999999943,64.33333333333333,6.658328118479391,102.79666666666667,0.05172413793103448,0.0
2026-03-01,00:59:00,6.0,47.0,40.0,2.0,3.0,2.0,95.52,15.0,118021802.0,23.0,2026-03-01 00:59:00,47.0,47.0,85.1063829787234,4.25531914893617,6.382978723404255,4.25531914893617,0,59,6,1,3,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,-10.0,-9.170000000000002,60.0,10.230672835481869,100.97749999999999,0.0426497277676951,0.0
2026-03-01,01:14:00,6.0,44.0,43.0,1.0,0.0,0.0,101.09,15.0,118021802.0,23.0,2026-03-01 01:14:00,44.0,44.0,97.72727272727273,2.272727272727273,0.0,0.0,1,14,6,1,3,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-3.0,5.570000000000007,53.5,10.016652800877809,101.4075,0.039927404718693285,0.0
2026-03-01,01:29:00,6.0,37.0,35.0,1.0,1.0,0.0,100.13,15.0,118021802.0,23.0,2026-03-01 01:29:00,37.0,37.0,94.5945945945946,2.7027027027027026,2.7027027027027026,0.0,1,29,6,1,3,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-7.0,-0.960000000000008,46.25,8.301606270274846,100.3575,0.03357531760435572,0.0
2026-03-01,01:44:00,6.0,39.0,38.0,0.0,0.0,1.0,102.69,15.0,118021802.0,23.0,2026-03-01 01:44:00,39.0,39.0,97.43589743589743,0.0,0.0,2.564102564102564,1,44,6,1,3,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,2.0,2.5600000000000023,41.75,4.573474244670742,99.8575,0.03539019963702359,0.0
2026-03-01,01:59:00,6.0,22.0,20.0,1.0,0.0,1.0,101.43,15.0,118021802.0,23.0,2026-03-01 01:59:00,22.0,22.0,90.9090909090909,4.545454545454546,0.0,4.545454545454546,1,59,6,1,3,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-17.0,-1.259999999999991,35.5,9.469248474227857,101.335,0.019963702359346643,0.0
2026-03-01,02:14:00,6.0,18.0,17.0,0.0,1.0,0.0,98.25,15.0,118021802.0,23.0,2026-03-01 02:14:00,18.0,18.0,94.44444444444444,0.0,5.555555555555555,0.0,2,14,6,1,3,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-4.0,-3.180000000000007,29.0,10.551461194229606,100.625,0.016333938294010888,0.0
2026-03-01,02:29:00,6.0,36.0,30.0,3.0,2.0,1.0,95.06,15.0,118021802.0,23.0,2026-03-01 02:29:00,36.0,36.0,83.33333333333334,8.333333333333332,5.555555555555555,2.7777777777777777,2,29,6,1,3,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,18.0,-3.1899999999999977,28.75,10.307764064044148,99.3575,0.032667876588021776,0.0
2026-03-01,02:44:00,6.0,25.0,23.0,0.0,0.0,2.0,97.79,15.0,118021802.0,23.0,2026-03-01 02:44:00,25.0,25.0,92.0,0.0,0.0,8.0,2,44,6,1,3,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-11.0,2.730000000000004,25.25,7.719024117939602,98.13250000000001,0.022686025408348458,0.0
2026-03-01,02:59:00,6.0,29.0,27.0,1.0,0.0,1.0,99.3,15.0,118021802.0,23.0,2026-03-01 02:59:00,29.0,29.0,93.10344827586206,3.4482758620689653,0.0,3.4482758620689653,2,59,6,1,3,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.0,1.509999999999991,27.0,7.527726527090805,97.6,0.02631578947368421,0.0
2026-03-01,03:14:00,6.0,27.0,26.0,1.0,0.0,0.0,102.64,15.0,118021802.0,23.0,2026-03-01 03:14:00,27.0,27.0,96.29629629629629,3.7037037037037033,0.0,0.0,3,14,6,1,3,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-2.0,3.3400000000000034,29.25,4.787135538781683,98.6975,0.024500907441016333,0.0
2026-03-01,03:29:00,6.0,22.0,21.0,1.0,0.0,0.0,100.64,15.0,118021802.0,23.0,2026-03-01 03:29:00,22.0,22.0,95.45454545454545,4.545454545454546,0.0,0.0,3,29,6,1,3,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-5.0,-2.0,25.75,2.9860788111948082,100.0925,0.019963702359346643,0.0
2026-03-01,03:44:00,6.0,18.0,17.0,0.0,0.0,1.0,96.4,15.0,118021802.0,23.0,2026-03-01 03:44:00,18.0,18.0,94.44444444444444,0.0,0.0,5.555555555555555,3,44,6,1,3,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-4.0,-4.239999999999995,24.0,4.966554808583774,99.745,0.016333938294010888,0.0
2026-03-01,03:59:00,6.0,19.0,18.0,1.0,0.0,0.0,103.94,15.0,118021802.0,23.0,2026-03-01 03:59:00,19.0,19.0,94.73684210526315,5.263157894736842,0.0,0.0,3,59,6,1,3,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.0,7.539999999999992,21.5,4.041451884327372,100.905,0.017241379310344827,0.0
2026-03-01,04:14:00,6.0,23.0,21.0,1.0,0.0,1.0,94.54,15.0,118021802.0,23.0,2026-03-01 04:14:00,23.0,23.0,91.30434782608695,4.3478260869565215,0.0,4.3478260869565215,4,14,6,1,3,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,4.0,-9.399999999999991,20.5,2.380476142847602,98.88,0.020871143375680582,0.0
2026-03-01,04:29:00,6.0,20.0,18.0,0.0,0.0,2.0,95.16,15.0,118021802.0,23.0,2026-03-01 04:29:00,20.0,20.0,90.0,0.0,0.0,10.0,4,29,6,1,3,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-3.0,0.6199999999999903,20.0,2.1602468994692705,97.51,0.018148820326678767,0.0
2026-03-01,04:44:00,6.0,19.0,17.0,1.0,1.0,0.0,94.92,15.0,118021802.0,23.0,2026-03-01 04:44:00,19.0,19.0,89.47368421052632,5.263157894736842,5.263157894736842,0.0,4,44,6,1,3,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1.0,-0.23999999999999488,20.25,1.8929694486000725,97.13999999999999,0.017241379310344827,0.0
2026-03-01,04:59:00,6.0,14.0,13.0,0.0,0.0,1.0,100.0,15.0,118021802.0,23.0,2026-03-01 04:59:00,14.0,14.0,92.85714285714286,0.0,0.0,7.142857142857142,4,59,6,1,3,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-5.0,5.079999999999998,19.0,3.741657386773932,96.155,0.012704174228675136,0.0
2026-03-01,05:14:00,6.0,33.0,31.0,0.0,1.0,1.0,101.87,15.0,118021802.0,23.0,2026-03-01 05:14:00,33.0,33.0,93.93939393939394,0.0,3.0303030303030303,3.0303030303030303,5,14,6,1,3,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,19.0,1.8700000000000045,21.5,8.103497187428808,97.98750000000001,0.029945553539019964,0.0
2026-03-01,05:29:00,6.0,23.0,21.0,1.0,0.0,1.0,100.51,15.0,118021802.0,23.0,2026-03-01 05:29:00,23.0,23.0,91.30434782608695,4.3478260869565215,0.0,4.3478260869565215,5,29,6,1,3,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-10.0,-1.3599999999999994,22.25,8.057087976847875,99.325,0.020871143375680582,0.0
2026-03-01,05:44:00,6.0,65.0,60.0,2.0,1.0,2.0,100.77,15.0,118021802.0,23.0,2026-03-01 05:44:00,65.0,65.0,92.3076923076923,3.076923076923077,1.5384615384615385,3.076923076923077,5,44,6,1,3,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,42.0,0.2599999999999909,33.75,22.23173407541571,100.7875,0.05898366606170599,0.0
2026-03-01,05:59:00,6.0,42.0,37.0,2.0,1.0,2.0,101.36,15.0,118021802.0,23.0,2026-03-01 05:59:00,42.0,42.0,88.09523809523809,4.761904761904762,2.380952380952381,4.761904761904762,5,59,6,1,3,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-23.0,0.5900000000000034,40.75,17.93274472392147,101.1275,0.038112522686025406,0.0
2026-03-01,06:14:00,6.0,55.0,53.0,0.0,1.0,1.0,100.63,15.0,118021802.0,23.0,2026-03-01 06:14:00,55.0,55.0,96.36363636363636,0.0,1.8181818181818181,1.8181818181818181,6,14,6,1,3,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,13.0,-0.730000000000004,46.25,18.136059844041835,100.8175,0.0499092558983666,0.0
2026-03-01,06:29:00,6.0,51.0,48.0,3.0,0.0,0.0,102.28,15.0,118021802.0,23.0,2026-03-01 06:29:00,51.0,51.0,94.11764705882352,5.88235294117647,0.0,0.0,6,29,6,1,3,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-4.0,1.6500000000000057,53.25,9.535023160258536,101.25999999999999,0.04627949183303085,0.0
2026-03-01,06:44:00,6.0,92.0,84.0,3.0,3.0,2.0,102.13,15.0,118021802.0,23.0,2026-03-01 06:44:00,92.0,92.0,91.30434782608695,3.260869565217391,3.260869565217391,2.1739130434782608,6,44,6,1,3,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,41.0,-0.15000000000000568,60.0,22.015146301277824,101.6,0.08348457350272233,0.0
2026-03-01,06:59:00,6.0,91.0,84.0,3.0,2.0,2.0,105.85,15.0,118021802.0,23.0,2026-03-01 06:59:00,91.0,91.0,92.3076923076923,3.296703296703297,2.197802197802198,2.197802197802198,6,59,6,1,3,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-1.0,3.719999999999999,72.25,22.291627725822686,102.7225,0.08257713248638839,0.0
2026-03-01,07:14:00,6.0,77.0,69.0,3.0,0.0,5.0,100.7,15.0,118021802.0,23.0,2026-03-01 07:14:00,77.0,77.0,89.6103896103896,3.896103896103896,0.0,6.493506493506493,7,14,6,1,3,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-14.0,-5.1499999999999915,77.75,19.102792117035317,102.74,0.06987295825771325,0.0
